,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lorengau,-2.0226,147.2712,79.47,82,84,4.61,PG,1623090014
1,bredasdorp,-34.5322,20.0403,69.28,40,100,5.21,ZA,1623090015
2,port shepstone,-30.7414,30.455,64.24,74,0,15.3,ZA,1623090089
3,lata,40.1629,-8.3327,79.03,50,0,7.27,PT,1623090261
4,saskylakh,71.9167,114.0833,36.61,75,91,7.56,RU,1623090262
5,rikitea,-23.1203,-134.9692,76.48,83,93,19.8,PF,1623090077
6,upington,-28.4478,21.2561,64.78,36,0,11.5,ZA,1623090262
7,tuktoyaktuk,69.4541,-133.0374,39.2,65,20,9.22,CA,1623090263
8,sambava,-14.2667,50.1667,73.4,72,64,13.38,MG,1623090263
9,cape town,-33.9258,18.4232,70.21,48,0,8.16,ZA,1623090162
10,new norfolk,-42.7826,147.0587,53.74,69,93,6.06,AU,1623090264
11,atuona,-9.8,-139.0333,79.16,72,31,10.65,PF,1623090264
12,russell,32.3502,-85.1999,83.91,89,75,6.82,US,1623090265
13,avarua,-21.2078,-159.775,66.25,94,20,2.3,CK,1623090265
14,mae hong son,19.3003,97.9685,75.58,96,99,2.28,TH,1623090266
15,ushuaia,-54.8,-68.3,42.46,75,40,2.3,AR,1623090257
16,hilo,19.7297,-155.09,78.62,73,1,5.75,US,1623089975
17,lewisburg,35.4492,-86.7889,81.48,76,90,9.22,US,1623090266
18,dikson,73.5069,80.5464,30.47,90,100,9.46,RU,1623090267
19,victoria,22.2855,114.1577,82.45,86,64,1.99,HK,1623090011
20,punta arenas,-53.15,-70.9167,42.91,75,40,6.91,CL,1623090184
21,vao,-22.6667,167.4833,69.91,55,84,17.63,NC,1623090268
22,mataura,-46.1927,168.8643,38.98,94,3,2.42,NZ,1623090268
23,provideniya,64.3833,-173.3,34.61,84,79,4.59,RU,1623090269
24,zaysan,47.4667,84.8667,62.15,26,66,7.43,KZ,1623090269
25,albany,42.6001,-73.9662,94.17,40,14,1.99,US,1623090249
26,bitung,1.4451,125.1824,74.25,85,88,11.92,ID,1623090270
27,lunavada,23.1333,73.6167,88.86,55,31,14.07,IN,1623090270
28,bengkulu,-3.8004,102.2655,75.4,87,24,3.6,ID,1623090271
29,georgetown,5.4112,100.3354,82.33,83,20,0.0,MY,1623090257
30,mar del plata,-38.0023,-57.5575,59.0,70,75,11.99,AR,1623090138
31,zima,53.9202,102.0442,53.28,84,67,3.94,RU,1623090271
32,zhangjiakou,40.81,114.8794,64.26,67,40,6.15,CN,1623090272
33,khatanga,71.9667,102.5,31.98,92,91,6.53,RU,1623090254
34,port alfred,-33.5906,26.891,65.53,66,0,11.95,ZA,1623090273
35,bambous virieux,-20.3428,57.7575,71.85,83,40,19.55,MU,1623090273
36,makasar,-5.14,119.4221,73.45,94,20,3.58,ID,1623090274
37,east london,-33.0153,27.9116,65.34,45,0,8.05,ZA,1623090274
38,dzilam gonzalez,21.2833,-88.9333,97.38,39,50,7.43,MX,1623090274
39,solnechnyy,50.7214,136.6319,52.11,92,63,3.18,RU,1623090275
40,perene,-10.9492,-75.2261,85.1,53,26,4.7,PE,1623090276
41,fukue,32.6881,128.8419,70.83,89,91,7.47,JP,1623090276
42,tocopilla,-22.092,-70.1979,68.61,65,79,6.46,CL,1623090277
43,butaritari,3.0707,172.7902,80.44,76,57,4.34,KI,1623090277
44,port lincoln,-34.7333,135.8667,51.55,64,94,25.41,AU,1623090278
45,hobart,-42.8794,147.3294,54.1,82,77,1.01,AU,1623090118
46,vernon,50.2581,-119.2691,63.93,44,100,2.3,CA,1623090278
47,synya,65.3718,58.0387,41.54,52,51,4.9,RU,1623090279
48,sozimskiy,59.7418,52.2482,49.44,49,8,7.18,RU,1623090279
49,yellowknife,62.456,-114.3525,43.32,81,90,10.36,CA,1623090111
50,itupiranga,-5.1347,-49.3267,89.92,59,55,3.36,BR,1623090280
51,namibe,-15.1961,12.1522,75.27,56,8,9.06,AO,1623090100
52,busselton,-33.65,115.3333,48.07,83,57,11.41,AU,1623090280
53,iskateley,67.6803,53.1512,41.04,58,67,11.52,RU,1623090281
54,arlit,18.7369,7.3853,99.16,8,96,3.22,NE,1623090281
55,esperance,-33.8667,121.9,51.64,61,100,14.63,AU,1623090131
56,souillac,-20.5167,57.5167,71.98,83,40,19.33,MU,1623090282
57,banda aceh,5.5577,95.3222,80.22,78,100,13.87,ID,1623090282
58,pervomayskoye,43.919,46.7102,62.98,66,70,5.48,RU,1623090283
59,castrillon,43.3979,-6.7922,65.21,76,100,5.3,ES,1623090283
60,taganak,6.0833,118.3,77.14,76,100,5.75,PH,1623090284
61,watertown,42.3709,-71.1828,97.7,41,20,7.0,US,1623090000
62,alamos,27.0167,-108.9333,98.26,13,10,6.31,MX,1623090284
63,sao filipe,14.8961,-24.4956,76.84,65,5,13.62,CV,1623090285
64,avera,33.194,-82.5271,87.85,91,100,5.55,US,1623090285
65,lufilufi,-13.8745,-171.5986,81.25,75,27,6.62,WS,1623090286
66,haines junction,60.7522,-137.5108,48.15,81,100,0.0,CA,1623090286
67,kahului,20.8947,-156.47,79.84,74,40,17.27,US,1623090287
68,san simon de la laguna,19.3,-100.0833,76.44,34,80,1.32,MX,1623090287
69,bac lieu,9.285,105.7244,82.29,76,100,5.35,VN,1623090287
70,buala,-8.145,159.5921,77.41,88,88,6.58,SB,1623090288
71,ladario,-19.0047,-57.6017,91.49,48,20,6.91,BR,1623090288
72,kisanga,-7.4362,37.7034,75.42,60,46,2.3,TZ,1623090289
73,kodiak,57.79,-152.4072,53.11,58,1,5.75,US,1623090237
74,clyde river,70.4692,-68.5914,37.63,81,20,16.11,CA,1623090289
75,qaanaaq,77.484,-69.3632,39.49,92,3,2.64,GL,1623090290
76,fortuna,40.5982,-124.1573,65.19,55,90,1.99,US,1623090290
77,bubaque,11.2833,-15.8333,79.86,82,99,11.68,GW,1623090291
78,hambantota,6.1241,81.1185,80.11,83,95,15.73,LK,1623090291
79,talcahuano,-36.7167,-73.1167,55.08,67,0,9.22,CL,1623090291
80,ketchikan,55.3422,-131.6461,49.98,66,99,1.99,US,1623090292
81,pekalongan,-6.8886,109.6753,73.31,83,44,4.83,ID,1623090292
82,huntsville,34.7304,-86.5861,82.53,77,90,1.01,US,1623090103
83,sisimiut,66.9395,-53.6735,43.03,79,84,6.38,GL,1623090293
84,arraial do cabo,-22.9661,-42.0278,76.96,78,0,8.05,BR,1623090294
85,vila franca do campo,37.7167,-25.4333,70.21,66,76,7.76,PT,1623090294
86,adrar,20.5022,-10.0711,108.09,8,7,6.2,MR,1623090294
87,payakumbuh,-0.2202,100.6308,67.53,95,77,3.8,ID,1623090295
88,kavaratti,10.5669,72.642,83.48,75,45,13.78,IN,1623090296
89,touros,-5.1989,-35.4608,77.9,68,54,14.81,BR,1623090296
90,wukari,7.85,9.7833,86.5,56,40,2.98,NG,1623090297
91,dakar,14.6937,-17.4441,86.88,73,11,6.91,SN,1623090092
92,bluff,-46.6,168.3333,44.33,85,3,5.73,NZ,1623090297
93,isangel,-19.55,169.2667,70.48,65,96,10.58,VU,1623090298
94,hermanus,-34.4187,19.2345,69.91,52,100,8.32,ZA,1623090298
95,lompoc,34.6391,-120.4579,69.01,75,99,5.01,US,1623090299
96,digoin,46.4812,3.9795,68.81,68,0,8.05,FR,1623090299
97,mersin,36.862,34.6509,72.75,65,0,3.89,TR,1623090106
98,vaini,-21.2,-175.2,71.76,100,75,3.44,TO,1623090300
99,kerema,-7.9631,145.7785,77.27,90,100,6.24,PG,1623090300
100,port elizabeth,-33.918,25.5701,64.09,72,0,0.0,ZA,1623090301
101,saint george,37.1041,-113.5841,95.47,12,1,3.0,US,1623090301
102,mahebourg,-20.4081,57.7,71.89,83,40,13.8,MU,1623090301
103,upernavik,72.7868,-56.1549,33.04,97,65,6.96,GL,1623090302
104,sioux lookout,50.1001,-91.917,73.78,43,40,10.36,CA,1623090302
105,harrisonburg,38.4496,-78.8689,86.59,53,97,8.08,US,1623090190
106,boyuibe,-20.4167,-63.2833,73.31,75,100,3.78,BO,1623090303
107,castro,-24.7911,-50.0119,57.29,99,100,1.88,BR,1623090304
108,shimoda,34.6667,138.95,68.11,74,98,5.26,JP,1623090304
109,gat,31.61,34.7642,74.8,26,0,6.33,IL,1623090059
110,cam ranh,11.9214,109.1591,80.56,83,40,5.39,VN,1623090305
111,tukrah,32.5341,20.5791,75.94,48,12,7.11,LY,1623090305
112,komsomolskiy,40.4272,71.7189,78.22,30,85,4.03,UZ,1623090306
113,oga,46.4631,10.347,56.8,90,97,2.51,IT,1623090306
114,longyearbyen,78.2186,15.6401,35.44,100,75,5.75,SJ,1623090307
115,nouadhibou,20.931,-17.0347,73.38,68,52,21.85,MR,1623090307
116,mount isa,-20.7333,139.5,47.97,66,3,0.0,AU,1623090307
117,mandalgovi,45.7625,106.2708,41.94,69,50,21.0,MN,1623090308
118,jamestown,42.097,-79.2353,85.32,56,1,7.0,US,1623090257
119,bandarbeyla,9.4942,50.8122,80.53,80,3,30.67,SO,1623090309
