,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,coihaique,-45.5752,-72.0662,43.5,99,100,4.12,CL,1623456015
1,ketchikan,55.3422,-131.6461,61.05,51,81,3.31,US,1623456016
2,harper,4.375,-7.7169,77.34,87,88,2.93,LR,1623456016
3,castro,-24.7911,-50.0119,51.75,90,7,0.87,BR,1623456017
4,east london,-33.0153,27.9116,68.74,43,40,8.12,ZA,1623455781
5,narsaq,60.9167,-46.05,44.82,84,98,3.38,GL,1623456017
6,cape town,-33.9258,18.4232,61.12,75,0,9.22,ZA,1623455765
7,port alfred,-33.5906,26.891,68.31,44,27,10.51,ZA,1623456018
8,port elizabeth,-33.918,25.5701,65.08,49,19,7.52,ZA,1623456018
9,nioro,13.35,-15.75,82.96,65,100,7.16,GM,1623456019
10,punta arenas,-53.15,-70.9167,41.11,80,100,10.13,CL,1623456020
11,naze,28.3667,129.4833,76.12,84,98,7.02,JP,1623455873
12,bredasdorp,-34.5322,20.0403,58.17,71,100,3.27,ZA,1623456020
13,saint-philippe,-21.3585,55.7679,72.99,80,93,15.03,RE,1623456021
14,kapaa,22.0752,-159.319,84.18,73,35,4.0,US,1623456021
15,shestakovo,56.4915,103.96,54.05,39,14,4.14,RU,1623456022
16,ribeiropolis,-10.5394,-37.4167,66.74,91,35,3.27,BR,1623456022
17,tasiilaq,65.6145,-37.6368,37.56,98,100,5.17,GL,1623456023
18,sao filipe,14.8961,-24.4956,73.4,84,60,4.29,CV,1623456023
19,apple valley,34.5008,-117.1859,91.33,10,0,13.33,US,1623456023
20,ushuaia,-54.8,-68.3,35.78,94,100,8.72,AR,1623456024
21,ribeira grande,38.5167,-28.7,68.14,85,24,2.8,PT,1623456024
22,lokossa,6.6387,1.7167,77.76,85,97,4.18,BJ,1623456025
23,hithadhoo,-0.6,73.0833,83.21,74,62,10.16,MV,1623456025
24,fairbanks,64.8378,-147.7164,69.03,50,81,1.01,US,1623455938
25,khatanga,71.9667,102.5,41.58,53,84,3.31,RU,1623456025
26,port lincoln,-34.7333,135.8667,53.94,71,94,7.74,AU,1623456026
27,talcahuano,-36.7167,-73.1167,53.28,100,40,6.91,CL,1623456027
28,jamestown,42.097,-79.2353,75.02,83,27,3.0,US,1623455814
29,puerto ayora,-0.7393,-90.3518,72.55,93,85,3.0,EC,1623456027
30,casino,-28.8667,153.05,62.56,57,12,5.7,AU,1623456028
31,bontang,0.1333,117.5,78.01,87,95,4.81,ID,1623456028
32,ixtapa,20.7,-105.2,87.22,72,26,5.01,MX,1623456029
33,morondava,-20.2833,44.2833,67.87,75,15,6.93,MG,1623456029
34,vanimo,-2.6741,141.3028,82.85,70,5,6.89,PG,1623456029
35,tuatapere,-46.1333,167.6833,53.08,74,2,4.83,NZ,1623456030
36,rikitea,-23.1203,-134.9692,76.39,85,99,10.83,PF,1623456030
37,constantine,36.365,6.6147,65.64,51,4,1.81,DZ,1623456031
38,hilo,19.7297,-155.09,81.81,72,23,3.0,US,1623456015
39,kokrajhar,26.399,90.2718,75.94,95,100,9.82,IN,1623456031
40,leningradskiy,69.3833,178.4167,35.06,85,58,4.9,RU,1623456032
41,belmonte,-15.8631,-38.8828,74.03,81,85,7.43,BR,1623456032
42,tessalit,20.1986,1.0114,93.11,11,6,9.62,ML,1623456033
43,ahipara,-35.1667,173.1667,63.28,77,100,8.16,NZ,1623456033
44,acapulco,16.8634,-99.8901,82.65,74,94,8.14,MX,1623456034
45,mugumu,-1.85,34.7,59.11,88,80,4.72,TZ,1623456034
46,devils lake,48.1128,-98.8651,65.95,67,39,20.0,US,1623455901
47,kholmogory,64.2229,41.656,60.91,63,31,3.74,RU,1623456035
48,tabuk,17.4189,121.4443,81.09,74,96,4.29,PH,1623456021
49,diego de almagro,-26.3667,-70.05,59.11,36,0,0.74,CL,1623456035
50,broome,42.2506,-75.833,71.06,69,64,1.99,US,1623456036
51,tagusao,9.1924,117.8141,83.39,73,100,4.74,PH,1623456038
52,verkhnevilyuysk,63.4453,120.3167,55.26,49,3,7.9,RU,1623455762
53,butaritari,3.0707,172.7902,82.71,73,95,11.9,KI,1623456038
54,timberlake,37.3207,-79.2575,72.63,97,90,1.01,US,1623456039
55,ancud,-41.8697,-73.8203,55.42,95,100,19.66,CL,1623456039
56,kemijarvi,66.7131,27.4306,59.72,65,48,8.57,FI,1623456041
57,fortuna,40.5982,-124.1573,61.72,77,1,18.41,US,1623456041
58,bluff,-46.6,168.3333,47.97,73,4,5.01,NZ,1623456041
59,albany,42.6001,-73.9662,67.75,73,100,0.89,US,1623455760
60,alofi,-19.0595,-169.9187,76.01,65,36,25.08,NU,1623456042
61,yar-sale,66.8333,70.8333,55.76,73,100,16.42,RU,1623456042
62,hermanus,-34.4187,19.2345,60.91,68,100,3.06,ZA,1623456043
63,vega de alatorre,20.0333,-96.6333,80.13,72,100,5.12,MX,1623456043
64,barrow,71.2906,-156.7887,37.42,75,40,11.5,US,1623456044
65,sinnamary,5.3833,-52.95,76.64,86,100,3.94,GF,1623456044
